timestep,score,total_score,n_orders,n_objects,n_messages,human_action,ai_action,has_assigned_tasks,n_assigned_tasks,messages,assigned_tasks,round_id,participant_id,team_player,subjective_cognitive_load,can_switch,Current_Mode,Switch_Attempt,n_human_message,n_ai_message,avg_lpcx,std_lpcx,count_lpcx,avg_lpcy,std_lpcy,count_lpcy,avg_lpd,std_lpd,count_lpd,avg_lps,std_lps,count_lps,avg_lpv,std_lpv,count_lpv,avg_rpcx,std_rpcx,count_rpcx,avg_rpcy,std_rpcy,count_rpcy,avg_rpd,std_rpd,count_rpd,avg_rps,std_rps,count_rps,avg_rpv,std_rpv,count_rpv,avg_saccade_mag,std_saccade_mag,count_saccade_mag,avg_saccade_dir,std_saccade_dir,count_saccade_dir,avg_bkid,std_bkid,count_bkid,avg_bkdur,std_bkdur,count_bkdur,avg_bkpmin,std_bkpmin,count_bkpmin,total_samples,window_start,window_end,real_timestamp,has_eye_data
0,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.021285,0.001563640440949079,8,0.33223,0.001299373475399357,8,12.839585,0.19301523737037682,8,0.7614925,0.013516794579865656,8,1.0,0.0,8,0.4016375,0.0017380757011296012,8,0.272485,0.0009309288756014414,8,14.0639525,0.23075864904081658,8,0.7645962500000001,0.01872275921171876,8,1.0,0.0,8,118.31453,,1,297.41205,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,8,8,763.0,763.125,763.0,True
1,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.023209285714285714,0.0026913750111326835,14,0.33049071428571425,0.0024864353981173502,14,12.708314285714284,0.2314782957333244,14,0.7964214285714286,0.043927331400348484,14,1.0,0.0,14,0.4036357142857142,0.002810271583606539,14,0.27137428571428573,0.0016023478652648063,14,14.04672642857143,0.2727652359308596,14,0.7990271428571428,0.04420171027470304,14,1.0,0.0,14,118.31453,,1,297.41205,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,14,14,763.0,763.21875,763.0950792326939,True
2,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.026619333333333328,0.002731217589978785,15,0.3272359999999999,0.002794023724206463,15,12.510646428571429,0.2439856501646432,14,0.8064406666666668,0.035755917485614803,15,1.0,0.0,15,0.4071786666666667,0.002812890904051429,15,0.269352,0.0016415114985890377,15,13.970078666666668,0.2316631863863282,15,0.8072173333333333,0.035857430086119545,15,1.0,0.0,15,221.10379,,1,101.592,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.07812,763.3125,763.1901584653879,True
3,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.029670000000000002,0.0024037720357804313,16,0.32445625,0.0020779858036088688,16,12.354054166666666,0.19034273100041663,12,0.80684,0.029138338776715914,16,1.0,0.0,16,0.41036312500000005,0.0026084675418081515,16,0.268035,0.000871680369554503,16,13.886758666666669,0.1423798281191481,15,0.8051925000000001,0.02826654500759982,16,1.0,0.0,16,221.10379,,1,101.592,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,16,16,763.17188,763.40625,763.2852376980817,True
4,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.031947333333333335,0.001536659022809209,15,0.3222646666666666,0.001550552282560119,15,12.352436363636365,0.22425718375439954,11,0.8000046666666668,0.021960961749258184,15,1.0,0.0,15,0.4128453333333334,0.0016702517631725295,15,0.26714799999999994,0.0006028408934844634,15,13.921303846153844,0.12052603643601001,13,0.8017133333333333,0.0236959718296672,15,1.0,0.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.26562,763.5,763.3803169307756,True
5,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.033674,0.0009826407569111196,15,0.32046199999999997,0.0012907317968612103,15,12.44932076923077,0.28749252780033374,13,0.8197373333333334,0.015741154190150566,15,1.0,0.0,15,0.4147426666666666,0.0011031996754031098,15,0.2665166666666667,0.000695225211883247,15,13.983726923076922,0.19018791721981285,13,0.821058,0.016607117751133087,15,1.0,0.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.35938,763.59375,763.4753961634696,True
6,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.034579374999999996,0.0007592669161763868,16,0.3195275,0.0005542502443241022,16,12.68045125,0.33191800915035224,16,0.82239375,0.014440191076759791,16,1.0,0.0,16,0.415730625,0.0008390587484397791,16,0.26617875,0.000259919859443896,16,13.992551875,0.15820780761259345,16,0.8223950000000001,0.015438346198130585,16,1.0,0.0,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.0,0.0,16,16,763.45312,763.6875,763.5704753961635,True
7,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.03522,0.00031359664721239736,15,0.319078,0.0002460313568865324,15,12.962869999999999,0.29895331251139945,14,0.8134753333333336,0.014661474719562848,15,1.0,0.0,15,0.41640666666666676,0.00035263632959804214,15,0.2663166666666667,0.0002757500593619053,15,14.196512666666669,0.32482338015047624,15,0.8130360000000003,0.015327675622872496,15,1.0,0.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.54688,763.78125,763.6655546288574,True
8,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.035747999999999995,0.0005922378865673102,15,0.31858000000000003,0.000528569498065967,15,13.310041538461538,0.31712977474650533,13,0.8027800000000004,0.0017041126723312476,15,1.0,0.0,15,0.4169993333333332,0.0006830965908134421,15,0.2665726666666667,0.0002269193269696905,15,14.387916,0.37670883249912906,15,0.8023400000000003,2.298380017448157e-16,15,1.0,0.0,15,106.8679,,1,268.54843,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.64062,763.875,763.7606338615512,True
9,0.0,0.0,1,14,0,0,0,False,0,[],[],0,8,1,7,False,,0,0,0,0.036158,0.00031421557658943057,15,0.31810066666666664,0.0003750898305104829,15,13.528639999999998,0.21541620474483036,13,0.8023400000000003,2.298380017448157e-16,15,1.0,0.0,15,0.4174520000000001,0.00036707725928707927,15,0.266792,0.00010310881907688699,15,14.711266363636362,0.16032086671876022,11,0.8023400000000003,2.298380017448157e-16,15,1.0,0.0,15,106.8679,,1,268.54843,,1,0.0,0.0,0,0.0,0.0,0,11.0,0.0,15,15,763.73438,763.96875,763.8557130942452,True
